question_text,question_type,source,notes,target_AD,target_AM,target_AR,target_AU,target_BD,target_BO,target_BR,target_CA,target_CL,target_CN,target_CO,target_CY,target_CZ,target_DE,target_EC,target_EG,target_ET,target_GB,target_GR,target_GT,target_HK,target_ID,target_IN,target_IQ,target_IR,target_JO,target_JP,target_KE,target_KG,target_KR,target_KZ,target_LB,target_LY,target_MA,target_MM,target_MN,target_MO,target_MV,target_MX,target_MY,target_NG,target_NI,target_NL,target_NZ,target_PE,target_PH,target_PK,target_PR,target_RO,target_RS,target_RU,target_SG,target_SK,target_TH,target_TJ,target_TN,target_TR,target_TW,target_UA,target_US,target_UY,target_UZ,target_VE,target_VN,target_ZW
Believe in hell,wvs_seed,WVS Wave 7,wvs_code=Q167;rule=binary_yes=1,0.267875,0.422588,0.558898,0.312176,0.993317,0.612204,0.688613,0.351894,0.505729,0.117776,0.522368,0.618284,0.122124,0.157343,0.572426,0.998332,0.887613,0.303580,0.502602,0.793328,0.450673,0.697104,0.583254,,0.889262,0.970000,0.281286,0.663629,,0.315663,0.595745,0.858333,0.976371,0.976667,0.907500,0.387489,0.313551,0.995160,0.609940,0.877380,0.856146,0.258333,0.137056,0.237064,0.652885,0.652600,0.922177,0.615870,0.737714,0.313305,0.445628,0.699570,0.447503,0.780640,0.793333,0.984206,0.919714,0.636532,0.548863,0.691128,0.287255,0.900524,0.579832,0.298333,0.703580
Believe in heaven,wvs_seed,WVS Wave 7,wvs_code=Q168;rule=binary_yes=1,0.327968,0.475485,0.734451,0.496254,0.994152,0.868447,0.807618,0.482553,0.661965,0.124858,0.805263,0.668400,0.219700,0.329105,0.846088,0.997498,0.977068,0.453771,0.519710,0.879577,0.485380,0.858233,0.623957,,0.927419,0.992506,0.387571,0.929326,,0.322088,0.645068,0.895833,0.999162,0.979167,0.937500,0.405415,0.347305,0.996120,0.781063,0.896420,0.926870,0.349167,0.271777,0.408813,0.850980,0.960272,0.981199,0.858813,0.774112,0.373262,0.463150,0.727726,0.524366,0.779333,0.865833,0.994176,0.926409,0.632089,0.564957,0.686490,0.524504,0.915444,0.783193,0.301667,0.945319
"Incomes should be made more equal (agree, 6–10 of 10)",wvs_seed,WVS Wave 7,wvs_code=Q106;rule=6-10of10,0.575697,0.891447,0.526896,0.601615,0.281667,0.635551,0.422363,0.525869,0.281397,0.509410,0.571053,0.365903,0.667371,0.542497,0.557983,0.647651,0.598852,0.567007,0.443061,0.737664,0.677505,0.688447,0.739544,0.392500,0.677852,0.819317,0.449491,0.626094,0.852446,0.789558,0.756410,0.530100,0.610251,0.631667,0.582500,0.711526,0.562194,0.453668,0.525058,0.671744,0.767968,0.675000,0.467375,0.603677,0.603576,0.574202,0.710247,0.721677,0.754834,0.583661,0.665237,0.730124,0.541061,0.487788,0.851667,0.636439,0.479678,0.768915,0.577443,0.408923,0.582241,0.734156,0.714286,0.881667,0.606584
Private ownership of business should be increased (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q107;rule=6-10of10,0.365269,0.577012,0.582269,0.376701,0.416667,0.631984,0.357326,0.316873,0.426861,0.489218,0.534211,0.336256,0.499630,0.349083,0.514996,0.598246,0.544613,0.381064,0.314506,0.550291,0.530544,0.646593,0.627726,0.380833,0.526459,0.444730,0.111111,0.380270,0.590154,0.564659,0.489238,0.439127,0.664016,0.520000,0.574167,0.536313,0.411417,0.327220,0.519091,0.455446,0.630505,0.519167,0.409118,0.253506,0.556935,0.602240,0.556877,0.472826,0.505450,0.496350,0.605973,0.372970,0.511907,0.555704,0.780833,0.662185,0.609756,0.405076,0.557302,0.180519,0.434921,0.415333,0.407563,0.318333,0.436364
Government should take more responsibility (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q108;rule=6-10of10,0.309073,0.288599,0.424676,0.443056,0.335833,0.505429,0.236651,0.490135,0.313560,0.482926,0.443421,0.269142,0.468706,0.350958,0.421757,0.079167,0.391770,0.369991,0.217211,0.521162,0.517423,0.420541,0.488168,0.830833,0.268767,0.132721,0.219605,0.361465,0.440243,0.481124,0.400641,0.267500,0.349074,0.385000,0.342500,0.607892,0.445642,0.298651,0.417462,0.466108,0.252564,0.595000,0.401727,0.536660,0.468554,0.525125,0.461036,0.558140,0.486279,0.317025,0.314187,0.409280,0.410743,0.448632,0.432500,0.208819,0.458122,0.482290,0.328626,0.478658,0.473099,0.561056,0.557143,0.510833,0.261944
"Science and technology make life healthier, easier, more comfortable (6–10 of 10)",wvs_seed,WVS Wave 7,wvs_code=Q158;rule=6-10of10,0.832669,0.861078,0.777255,0.762035,0.973333,0.632411,0.628180,0.816767,0.635691,0.933846,0.609211,0.769220,0.696086,0.752312,0.543551,0.835263,0.797286,0.731255,0.890256,0.673823,0.823232,0.833101,0.762635,0.875000,0.812417,0.817726,0.849522,0.754777,0.752790,0.891566,0.762321,0.916667,0.948436,0.881667,0.853333,0.772287,0.825959,0.871373,0.685413,0.875095,0.815103,0.660000,0.835221,0.775828,0.686471,0.667644,0.782985,0.666369,0.810652,0.744848,0.789231,0.800335,0.715528,0.613594,0.883333,0.775701,0.773183,0.784403,0.794359,0.724659,0.684977,0.692370,,0.915833,0.806799
Science and technology give more opportunities to next generation (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q159;rule=6-10of10,0.796610,0.909273,0.823546,0.709763,0.968333,0.745166,0.693275,0.832820,0.679539,0.930041,0.713158,0.765058,0.730397,0.880952,0.697479,0.805730,0.862828,0.742455,0.865929,0.735880,0.765876,0.889974,0.738336,0.863333,0.805910,0.789562,0.859903,0.749007,0.828821,0.840964,0.791534,0.760833,0.923671,0.797500,0.898333,0.804528,0.779195,0.914258,0.779903,0.875095,0.811720,0.767500,0.798112,0.727361,0.753534,0.698165,0.826893,0.758311,0.844130,0.800789,0.830558,0.791051,0.758246,0.599026,0.917500,0.702521,0.790464,0.735003,0.846250,0.732117,0.761876,0.738462,,0.944167,0.806318
More opportunities for next generation because of S&T (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q160;rule=6-10of10,0.626627,0.694188,0.660993,0.279190,0.697500,0.678963,0.303107,0.321925,0.561464,0.462215,0.671711,0.610407,0.507126,0.297973,0.639899,0.320833,0.413617,0.271342,0.623853,0.620116,0.577355,0.294081,0.590633,0.475833,0.504049,0.449958,0.209197,0.562500,0.572248,0.623293,0.560394,0.581667,0.463442,0.606667,0.509167,0.629080,0.454367,0.638380,0.652772,0.645088,0.476683,0.645833,0.206441,0.272994,0.729466,0.473805,0.464012,0.766607,0.552748,0.517137,0.467099,0.538214,0.577931,0.445853,0.355000,0.377926,0.509036,0.451167,0.614010,0.376000,0.659581,0.502949,,0.603333,0.448219
"We depend too much on science, not enough on faith (6–10 of 10)",wvs_seed,WVS Wave 7,wvs_code=Q161;rule=6-10of10,0.510511,0.642548,0.533855,0.238256,0.599167,0.662278,0.409421,0.334225,0.500329,0.381190,0.601316,0.548787,0.474618,0.381019,0.595601,0.476289,0.538669,0.241158,0.474052,0.625521,0.457804,0.364351,0.591420,0.535833,0.296575,0.570319,0.320489,0.566853,0.547687,0.571888,0.599349,0.443590,0.629703,0.451667,0.515833,0.506611,0.383104,0.646377,0.615421,0.597106,0.517957,0.615000,0.262570,0.261084,0.641897,0.472163,0.669478,0.632911,0.525462,0.466599,0.518975,0.478386,0.619172,0.475707,0.302500,0.430728,0.513141,0.441164,0.548506,0.301648,0.419520,0.372054,,0.580833,0.484545
Science and technology are making our lives change too fast (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q162;rule=6-10of10,0.269920,0.308318,0.485898,0.267364,0.329167,0.512364,0.339828,0.327432,0.426498,0.115560,0.476974,0.305101,0.607938,0.178738,0.501689,0.267580,0.171623,0.263680,0.406536,0.440033,0.294387,0.274957,0.540217,0.382500,0.267340,0.365546,0.162479,0.450479,0.287583,0.510843,0.445793,0.712721,0.350136,0.220000,0.337500,0.582212,0.295163,0.361353,0.517997,0.332064,0.388889,0.524167,0.214880,0.293087,0.503201,0.483691,0.583333,0.322142,0.521772,0.435130,0.450095,0.192338,0.595999,0.324597,0.288333,0.282462,0.423370,0.203177,0.514503,0.257771,0.440431,0.323826,,0.456667,0.300166
It is not important for me to know about science in my daily life (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q163;rule=6-10of10,0.706175,0.639087,0.637091,0.824045,0.941667,0.505175,0.560103,0.806533,0.533911,0.932626,0.550658,0.679426,0.665855,0.827152,0.517992,0.540833,0.758913,0.799266,0.871795,0.636364,0.837673,0.822415,0.707416,0.780000,0.694220,0.563439,0.774834,0.678088,0.821756,0.916466,0.810637,0.858696,0.810298,0.820000,0.593333,0.772966,0.781036,0.836381,0.640205,0.745621,0.686814,0.550000,0.836392,0.840467,0.559549,0.614022,0.748348,0.575921,0.697168,0.682178,0.850885,0.689192,0.801431,0.745674,0.888333,0.539683,0.735936,0.746443,0.824276,0.756816,0.644622,0.853739,,0.941667,0.739419
Importance of God in your life (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q164;rule=6-10of10,0.401606,0.910455,0.807070,0.379369,0.981667,0.943826,0.890655,0.445115,0.612920,0.147755,0.934868,0.824856,0.341586,0.423740,0.930833,0.999164,0.979675,0.354992,0.838836,0.867052,0.413733,0.989563,0.844660,,0.941255,0.952381,0.348315,0.916600,0.926399,0.424900,0.767423,0.994167,0.989916,0.918333,0.984167,0.551721,0.278865,0.991338,0.874967,0.883473,0.941519,0.955833,0.293753,0.371859,0.949518,0.954089,0.964123,0.937782,0.887653,0.670862,0.602556,0.631461,0.590029,0.453427,0.958333,0.776020,0.857381,0.576950,0.700972,0.670237,0.606685,0.859852,0.958824,0.553333,0.985997
Importance of living in a democratically governed country (6–10 of 10),wvs_seed,WVS Wave 7,wvs_code=Q250;rule=6-10of10,0.962114,0.885718,0.937093,0.877360,0.920833,0.894944,0.795668,0.912113,0.832323,0.934049,0.839474,0.944019,0.879881,0.969737,0.827586,0.978242,0.942623,0.899038,0.985799,0.747500,0.873339,0.871534,0.885970,0.765833,0.899460,0.842150,0.933607,0.826018,0.821561,0.924498,0.820047,0.686291,0.867057,0.899167,0.931667,0.877201,0.817554,0.769826,0.869769,0.890327,0.803881,0.795833,0.958752,0.945759,0.932130,0.764849,0.873663,0.894309,0.855403,0.781095,0.789180,0.879949,0.882026,0.811435,0.923333,0.802532,0.841371,0.948541,0.862488,0.818583,0.932640,0.869813,0.928571,0.968333,0.923013
Justifiable: claiming government benefits you are not entitled to (6–10),wvs_seed,WVS Wave 7,wvs_code=Q177;rule=6-10of10,0.063190,0.085813,0.353879,0.070787,0.030000,0.429356,0.126406,0.101887,0.378120,0.192551,0.265789,0.072186,0.181665,0.021768,0.332485,0.042870,0.063673,0.053369,0.026364,0.313742,0.152932,0.188901,0.146978,0.247500,0.198775,0.183898,0.044753,0.216019,0.162623,0.137349,0.209825,0.222696,0.162021,0.264167,0.228524,0.172921,0.128180,0.077146,0.389128,0.357197,0.077274,0.294167,0.029082,0.071709,0.232237,0.427768,0.174807,0.145161,0.110333,0.280488,0.275736,0.102448,0.240041,0.063489,0.143333,0.166806,0.078431,0.114595,0.234914,0.118265,0.172896,0.209814,0.275630,0.356667,0.122112
Justifiable: avoiding a fare on public transport (6–10),wvs_seed,WVS Wave 7,wvs_code=Q178;rule=6-10of10,0.050898,0.030515,0.207278,0.085388,0.007500,0.305651,0.251620,0.182035,0.206132,0.035649,0.268421,0.109404,0.306983,0.039344,0.288945,0.020202,0.108660,0.089588,0.110121,0.264511,0.102386,0.144398,0.095982,0.184167,0.116779,,0.015060,0.245514,0.129378,0.097992,0.316599,,0.054148,0.190000,0.167084,0.210753,0.088063,0.142445,0.340161,0.309216,0.063057,0.265000,0.046169,0.075949,0.135681,0.366537,0.089069,0.101164,0.077913,0.269309,0.413147,0.044394,0.246115,0.058787,0.086667,0.075644,0.094221,0.043472,0.245871,0.135751,0.143598,0.481512,0.150420,0.200000,0.112119
Justifiable: stealing property (6–10),wvs_seed,WVS Wave 7,wvs_code=Q179;rule=6-10of10,0.018943,0.014502,0.063923,0.032970,0.004167,0.033430,0.052369,0.082442,0.099765,0.013937,0.036842,0.027640,0.130632,0.002618,0.072864,0.001674,0.049674,0.014630,0.005984,0.111019,0.067998,0.025909,0.063986,0.114167,0.022059,0.029167,0.009023,0.168980,0.048716,0.081124,0.076175,0.045493,0.014555,0.097500,0.003336,0.081126,0.076321,0.024178,0.116896,0.204874,0.039493,0.054167,0.016170,0.023301,0.035335,0.232475,0.062854,0.030439,0.044115,0.214000,0.101961,0.013409,0.095906,0.038228,0.030000,0.033250,0.057404,0.013188,0.068989,0.058543,0.076963,0.089271,0.047059,0.101667,0.068369
Justifiable: cheating on taxes (6–10),wvs_seed,WVS Wave 7,wvs_code=Q180;rule=6-10of10,0.039960,0.057961,0.092938,0.060863,0.002500,0.071569,0.182946,0.119639,0.143993,0.022867,0.076974,0.043674,0.177506,0.022368,0.103623,0.028014,0.055967,0.037677,0.040294,0.116027,0.080147,0.133297,0.078252,0.139167,0.101410,0.089690,0.010534,0.248578,0.091961,0.051406,0.156766,0.116124,0.041415,0.160833,0.014167,0.120250,0.068627,0.028958,0.164074,0.239147,0.039277,0.104167,0.040589,0.042802,0.056982,0.289384,0.083074,0.036705,0.113629,0.238716,0.238876,0.025332,0.125328,0.030180,0.060000,0.064892,0.060543,0.025510,0.174554,0.062259,0.087198,0.215574,0.049580,0.120833,0.083951
Justifiable: someone accepting a bribe (6–10),wvs_seed,WVS Wave 7,wvs_code=Q181;rule=6-10of10,0.014985,0.022847,0.073008,0.032343,0.004167,0.072343,0.051674,0.087206,0.121253,0.036952,0.058553,0.030267,0.152479,0.007218,0.111205,0.003353,0.049020,0.014456,0.026735,0.109817,0.070850,0.061160,0.067079,0.146667,0.025367,0.026711,0.013585,0.195617,0.052279,0.054618,0.087063,0.079167,0.024180,0.144167,0.035000,0.085705,0.080629,0.017324,0.131733,0.204874,0.038571,0.090000,0.021343,0.013632,0.042884,0.275182,0.049587,0.030548,0.064257,0.205466,0.116085,0.018122,0.152699,0.028421,0.031667,0.050707,0.058848,0.018213,0.112108,0.047880,0.058095,0.095980,0.043697,0.133333,0.089786
Justifiable: homosexuality (6–10),wvs_seed,WVS Wave 7,wvs_code=Q182;rule=6-10of10,0.808809,0.033301,0.531087,0.700353,0.010833,0.197340,0.387980,0.755857,0.396006,0.104275,0.304605,0.242383,0.657219,0.753701,0.232841,,0.069194,0.719584,0.361569,0.263071,0.395392,0.036057,0.152374,0.117365,0.040940,0.019247,0.604269,0.183539,0.038092,0.138153,0.098175,0.081376,0.008050,0.129167,0.025855,0.186286,0.440744,0.020231,0.322920,0.281036,0.026823,0.196667,0.908077,0.702381,0.137051,0.316591,0.041340,0.463148,0.127790,0.238047,0.148356,0.198246,0.416114,0.305365,,0.020017,0.081253,0.282493,0.145708,0.536312,0.610267,,0.232773,0.566667,0.070132
Justifiable: prostitution (6–10),wvs_seed,WVS Wave 7,wvs_code=Q183;rule=6-10of10,0.358434,0.029191,0.284427,0.434678,0.015833,0.137984,0.199062,0.395780,0.197243,0.023486,0.184211,0.063768,0.431457,0.371890,0.205656,,0.074529,0.334449,0.262818,0.215539,0.171790,0.027828,0.102306,,,,0.059954,0.187192,0.034296,0.094779,0.112749,,0.009017,0.134167,0.032527,0.104684,0.162745,0.015429,0.232234,0.242955,0.030920,0.136667,0.571196,0.473073,0.087999,0.239954,0.038324,0.185085,0.076162,0.240286,0.174606,0.121443,0.255512,0.096248,0.018333,0.053200,0.066779,0.139654,0.162204,0.215949,0.328276,0.086278,0.156303,0.300000,0.082305
Justifiable: abortion (6–10),wvs_seed,WVS Wave 7,wvs_code=Q184;rule=6-10of10,0.535536,0.067721,0.233287,0.611863,0.059167,0.105108,0.120560,0.650580,0.280475,0.096519,0.116447,0.127803,0.575670,0.426351,0.129739,0.067511,0.066939,0.604081,0.345447,0.183402,0.201900,0.037488,0.159480,0.135000,0.145917,0.050167,0.309179,0.273693,0.053086,0.221687,0.210062,0.085000,0.051510,0.248333,0.005004,0.271327,0.181018,0.156220,0.208058,0.272658,0.037176,0.089167,0.782105,0.676501,0.092635,0.169844,0.063135,0.165622,0.190470,0.287910,0.373797,0.169655,0.430111,0.086022,0.028333,0.133222,0.112426,0.132755,0.304928,0.375410,0.368737,0.177539,0.129412,0.341667,0.075845
Justifiable: divorce (6–10),wvs_seed,WVS Wave 7,wvs_code=Q185;rule=6-10of10,0.840000,0.177133,0.605672,0.733390,0.060833,0.278080,0.529157,0.742589,0.578353,0.243791,0.372368,0.388854,0.683928,0.675316,0.302110,0.431570,0.158109,0.740675,0.687124,0.420182,0.394425,0.116471,0.198620,0.223333,0.208445,0.222222,0.585794,0.422350,0.091198,0.438554,0.359402,0.290620,0.239611,0.563333,0.065943,0.317013,0.402163,0.526062,0.419970,0.389185,0.113534,0.342500,0.846795,0.785282,0.366503,0.283726,0.112126,0.534884,0.388422,0.438008,0.557713,0.245802,0.624668,0.330461,0.035000,0.340532,0.379720,0.328582,0.531482,0.580572,0.687593,0.237469,0.441176,0.522500,0.161583
Justifiable: sex before marriage (6–10),wvs_seed,WVS Wave 7,wvs_code=Q186;rule=6-10of10,0.826305,0.141059,0.599385,0.776876,0.004167,0.246162,0.498893,0.798462,0.609977,0.252612,0.411842,0.525772,0.800705,0.835333,0.244672,,0.085505,0.785011,0.753699,0.280498,0.407141,0.037778,0.105822,,0.103610,0.015075,0.616121,0.319184,0.066859,0.347791,0.364853,0.077824,0.007042,0.156667,0.018364,0.323995,0.466143,0.058880,0.382848,0.299315,0.137831,0.297500,0.907867,0.800817,0.323978,0.272125,0.041200,0.427803,0.427607,0.501031,0.565829,0.260671,0.681971,0.342974,0.020833,0.041632,0.109322,0.331934,0.569519,0.596469,0.678671,0.114167,0.345378,0.568333,0.127378
Justifiable: suicide (6–10),wvs_seed,WVS Wave 7,wvs_code=Q187;rule=6-10of10,0.235000,0.024721,0.120855,0.285130,0.037500,0.091406,0.092541,0.272849,0.189599,0.060263,0.095395,0.041554,0.387574,0.277200,0.117597,0.007531,0.049715,0.306085,0.057266,0.136326,0.151157,0.026580,0.072048,0.100000,0.018024,0.011667,0.110224,0.202803,0.022499,0.093976,0.096831,0.064167,0.008780,0.141667,0.003336,0.087494,0.157171,0.029836,0.148622,0.214014,0.024433,0.063333,0.433277,0.206710,0.054597,0.180269,0.040404,0.071685,0.056737,0.220183,0.138073,0.092022,0.175544,0.097275,0.018333,0.021595,0.061481,0.105623,0.098529,0.182316,0.199695,0.097682,0.078151,0.383333,0.068425
Justifiable: euthanasia (6–10),wvs_seed,WVS Wave 7,wvs_code=Q188;rule=6-10of10,0.539778,0.129577,0.257465,0.638359,0.155833,0.198302,0.210512,0.611877,0.321199,0.306037,0.277632,0.114305,0.587464,0.695973,0.202993,0.041289,0.076043,0.637972,0.164331,0.255213,0.559472,0.084956,0.191159,0.101667,0.176949,0.037288,0.552951,0.311911,0.077070,0.333333,0.251607,0.079014,0.013310,0.170000,0.066778,0.240434,0.412169,0.099710,0.269221,0.309977,0.035563,0.121667,0.791971,0.746146,0.261952,0.228336,0.051099,0.235612,0.100037,0.263485,0.377825,0.302769,0.247333,0.121959,0.045000,0.062448,0.135054,0.542640,0.382001,0.447949,0.484093,0.154043,0.163543,0.446667,0.086022
Justifiable: for a man to beat his wife (6–10),wvs_seed,WVS Wave 7,wvs_code=Q189;rule=6-10of10,0.014985,0.014189,0.054374,0.035359,0.014167,0.055447,0.031571,0.053091,0.096855,0.031457,0.038158,0.019589,0.071158,0.006549,0.076923,0.089001,0.064385,,0.008665,0.080365,0.058211,0.038022,0.073249,0.118333,0.011341,0.034138,0.014296,0.239804,0.059370,0.053815,0.092061,0.050167,0.054243,0.175833,0.010008,0.089621,0.076471,0.011572,0.095531,0.212490,0.057563,0.051667,0.013118,0.008763,0.030114,0.232869,0.075975,0.018800,0.032301,0.218437,0.085003,0.014836,0.090244,0.057475,0.034167,0.061462,0.060392,0.009075,0.066843,0.029667,0.051581,0.130471,0.055462,0.135833,0.088284
Justifiable: parents beating children (6–10),wvs_seed,WVS Wave 7,wvs_code=Q190;rule=6-10of10,0.026919,0.047294,0.077506,0.058621,0.024167,0.103700,0.299299,0.092371,0.124847,0.195311,0.221711,0.022445,0.171547,0.017740,0.183264,0.196653,0.198044,0.031073,0.010078,0.293333,0.205102,0.108721,0.247408,0.180000,0.096796,0.108514,0.017306,0.398863,0.073618,0.078715,0.102905,0.087511,0.169729,0.419167,0.411667,0.182198,0.169774,0.030829,0.177071,0.363290,0.571638,0.334167,0.034291,0.030244,0.042251,0.276327,0.224438,0.122760,0.044376,0.226358,0.096040,0.174682,0.143792,0.095967,0.025833,0.183555,0.080000,0.259744,0.088621,0.075787,0.100599,0.147905,0.191597,0.375000,0.360465
Justifiable: violence against other people (6–10),wvs_seed,WVS Wave 7,wvs_code=Q191;rule=6-10of10,0.010978,0.020394,0.054965,0.049031,0.007500,0.054795,0.051009,0.096929,0.115849,0.028125,0.047368,0.019543,0.083344,0.011819,0.087029,0.010067,0.051303,0.022263,0.008107,0.096346,0.063209,0.040703,0.056391,0.106667,0.060788,0.015820,0.012057,0.181296,0.035756,0.041767,0.073090,0.045833,0.023643,0.112500,0.003336,0.067773,0.069676,0.015429,0.099197,0.212490,0.039104,0.076667,0.020655,0.024438,0.033205,0.248641,0.055951,0.038565,0.023432,0.211423,0.082385,0.023932,0.083580,0.043583,0.025000,0.019087,0.072977,0.017092,0.056173,0.079473,0.064252,0.095238,0.071429,0.165000,0.074196
"Justifiable: terrorism as a political, ideological or religious means (6–10)",wvs_seed,WVS Wave 7,wvs_code=Q192;rule=6-10of10,0.008000,0.019360,0.061009,0.041574,0.014167,0.055098,0.033204,0.070098,0.093012,0.016798,0.055921,,0.074645,0.005902,0.090295,0.000880,0.052975,0.007947,0.002283,0.088723,0.066204,0.044539,0.072527,0.121667,0.048564,0.015050,0.012214,0.166531,0.030715,0.049799,0.055464,0.045188,0.007965,0.067500,0.013344,0.069066,0.122911,0.014465,0.102976,0.196497,0.037087,0.070833,0.008634,0.010806,0.038813,0.258910,0.048012,0.028777,0.021441,0.213427,0.072852,0.016985,0.084088,0.037073,0.034167,0.009151,,0.013501,0.056252,0.041840,0.054613,0.068050,0.046218,0.175833,0.079273
Justifiable: casual sex (6–10),wvs_seed,WVS Wave 7,wvs_code=Q193;rule=6-10of10,0.501505,0.062419,0.432894,0.608962,0.004167,0.105882,0.342208,0.652596,0.375628,0.022368,0.254605,0.181151,0.631170,0.329708,0.154894,,0.053746,0.569689,0.448473,0.240695,0.160645,0.031842,0.076816,,,,0.101415,0.239609,0.035451,0.061847,0.188581,0.073333,0.002655,0.103333,0.006672,0.219039,0.173058,0.028902,0.211080,0.268088,0.122012,0.213333,0.699573,0.525826,0.116667,0.209597,0.053333,0.302158,0.181584,0.398139,0.319120,0.139499,0.490210,0.099049,0.021667,0.010806,0.105108,0.132079,0.254211,0.459263,0.456256,0.080925,0.274790,0.458333,0.100577
Justifiable: political violence (6–10),wvs_seed,WVS Wave 7,wvs_code=Q194;rule=6-10of10,0.022977,0.013916,0.061612,0.054889,0.013333,0.070682,0.051437,0.106461,0.138940,0.026310,0.063158,,0.107686,0.011177,0.117647,0.002740,0.060458,0.017045,0.023226,0.091590,0.091656,0.042185,0.052870,0.143333,0.064935,0.012552,0.013148,0.178250,0.033977,0.063454,0.066275,0.040134,0.014197,0.077500,0.010008,0.084556,0.085378,0.013527,0.119254,0.195735,0.036344,0.091667,0.031024,0.041206,0.044861,0.261363,0.035770,0.041256,0.036427,0.217347,0.112547,0.019340,0.103113,0.073690,0.030833,0.010824,,0.012815,0.081015,0.073947,0.080219,0.069825,0.064706,0.212500,0.075207
Justifiable: death penalty (6–10),wvs_seed,WVS Wave 7,wvs_code=Q195;rule=6-10of10,0.224775,0.162580,0.227853,0.397302,0.155000,0.254990,0.323570,0.441788,0.350426,0.483329,0.303947,0.152059,0.391345,0.134921,0.264805,0.668675,0.124694,0.342328,0.089262,0.435323,0.322480,0.210908,0.299336,0.435833,0.708895,0.476071,0.608230,0.273179,0.098204,0.318876,0.253484,0.253654,0.364937,0.347500,0.263158,0.423996,0.236739,0.698168,0.266489,0.376238,0.121956,0.117500,0.220888,0.345324,0.292757,0.294073,0.270704,0.156951,0.131116,0.389624,0.363626,0.363755,0.202411,0.325324,0.060000,0.239601,0.246389,0.653127,0.355000,0.481992,0.280395,0.174497,0.189916,0.349167,0.165426
